slurm-3473679.out:Memory, Processes, 16, Rank, 7, vMem, 1030852 KB, pMem, 640368 KB
slurm-3473679.out:Memory, Processes, 16, Rank, 9, vMem, 1031552 KB, pMem, 640876 KB
slurm-3473679.out:Memory, Processes, 16, Rank, 11, vMem, 1030776 KB, pMem, 640168 KB
slurm-3473679.out:Memory, Processes, 16, Rank, 10, vMem, 1033128 KB, pMem, 642428 KB
slurm-3473679.out:Memory, Processes, 16, Rank, 13, vMem, 1031964 KB, pMem, 641416 KB
slurm-3473679.out:Memory, Processes, 16, Rank, 14, vMem, 1031252 KB, pMem, 640684 KB
slurm-3473679.out:Memory, Processes, 16, Rank, 15, vMem, 1030980 KB, pMem, 640384 KB
slurm-3473679.out:Memory, Processes, 16, Rank, 8, vMem, 1031692 KB, pMem, 640972 KB
slurm-3473679.out:Memory, Processes, 16, Rank, 0, vMem, 1030324 KB, pMem, 639772 KB
slurm-3473679.out:Memory, Processes, 16, Rank, 4, vMem, 1031016 KB, pMem, 640528 KB
slurm-3473679.out:Memory, Processes, 16, Rank, 12, vMem, 1031192 KB, pMem, 640580 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 0, vMem, 775844 KB, pMem, 368976 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 2, vMem, 776160 KB, pMem, 368996 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 4, vMem, 776064 KB, pMem, 369120 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 6, vMem, 776512 KB, pMem, 369596 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 7, vMem, 776036 KB, pMem, 369184 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 1, vMem, 774176 KB, pMem, 367304 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 3, vMem, 774924 KB, pMem, 368032 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 5, vMem, 776020 KB, pMem, 369092 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 24, vMem, 772392 KB, pMem, 365456 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 25, vMem, 774136 KB, pMem, 367216 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 26, vMem, 773592 KB, pMem, 366664 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 27, vMem, 773796 KB, pMem, 366936 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 30, vMem, 773480 KB, pMem, 366620 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 31, vMem, 772728 KB, pMem, 365792 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 28, vMem, 774484 KB, pMem, 369592 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 29, vMem, 772304 KB, pMem, 365368 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 8, vMem, 774584 KB, pMem, 367604 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 9, vMem, 776148 KB, pMem, 369064 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 10, vMem, 774436 KB, pMem, 367444 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 11, vMem, 775756 KB, pMem, 368768 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 14, vMem, 776316 KB, pMem, 369396 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 15, vMem, 774316 KB, pMem, 367392 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 12, vMem, 776748 KB, pMem, 369744 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 13, vMem, 776744 KB, pMem, 369756 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 16, vMem, 775876 KB, pMem, 368860 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 18, vMem, 775772 KB, pMem, 368784 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 20, vMem, 775652 KB, pMem, 368668 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 22, vMem, 774500 KB, pMem, 367508 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 23, vMem, 775664 KB, pMem, 368748 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 17, vMem, 774848 KB, pMem, 367788 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 19, vMem, 775872 KB, pMem, 368964 KB
slurm-3473681.out:Memory, Processes, 32, Rank, 21, vMem, 776816 KB, pMem, 369692 KB
slurm-3473682.out:Memory, Processes, 8, Rank, 0, vMem, 1551812 KB, pMem, 1179720 KB
slurm-3473682.out:Memory, Processes, 8, Rank, 5, vMem, 1553764 KB, pMem, 1181484 KB
slurm-3473682.out:Memory, Processes, 8, Rank, 3, vMem, 1553192 KB, pMem, 1180964 KB
