slurm-3473618.out:DATA, 5889472.994000, Threads, 2
slurm-3473619.out:DATA, 3245371.616000, Threads, 4
slurm-3473620.out:DATA, 1549934.037000, Threads, 8
slurm-3473621.out:DATA, 737069.096000, Threads, 16
slurm-3473623.out:DATA, 5880256.786000, Threads, 2
slurm-3473624.out:DATA, 3046331.128000, Threads, 4
slurm-3473625.out:DATA, 1341799.120000, Threads, 8
slurm-3473626.out:DATA, 941762.713000, Threads, 16
slurm-3473628.out:DATA, 6027889.932000, Threads, 2
slurm-3473629.out:DATA, 3035660.110000, Threads, 4
slurm-3473630.out:DATA, 1574472.516000, Threads, 8
slurm-3473631.out:DATA, 719661.596000, Threads, 16
slurm-3473633.out:DATA, 5919797.597000, Threads, 2
slurm-3473634.out:DATA, 2867394.888000, Threads, 4
slurm-3473635.out:DATA, 1532355.081000, Threads, 8
slurm-3473636.out:DATA, 738733.193000, Threads, 16
