slurm-1431269.out:DATA,435.528,,,,,,,,
slurm-1431270.out:DATA,246.161,,,,,,,,
slurm-1431271.out:DATA,157.177,,,,,,,,
slurm-1431272.out:DATA,63.347,,,435.528,480.914,478.316,501.675,501.295,479.5456
slurm-1431273.out:DATA,36.432,,,246.161,241.148,244.618,250.073,251.087,246.6174
slurm-1431274.out:DATA,480.914,,,157.177,125.518,163.581,125.48,156.795,145.7102
slurm-1431275.out:DATA,241.148,,,63.347,63.254,62.916,62.979,63.42,63.1832
slurm-1431276.out:DATA,125.518,,,36.432,33.241,43.936,35.585,43.999,38.6386
slurm-1431277.out:DATA,63.254,,,,,,,,
slurm-1431278.out:DATA,33.241,,,,,,,,
slurm-1431279.out:DATA,478.316,,,,,,,,
slurm-1431280.out:DATA,244.618,,,,,,,,
slurm-1431281.out:DATA,163.581,,,,,,,,
slurm-1431282.out:DATA,62.916,,,,,,,,
slurm-1431283.out:DATA,43.936,,,,,,,,
slurm-1431284.out:DATA,501.675,,,,,,,,
slurm-1431285.out:DATA,250.073,,,,,,,,
slurm-1431286.out:DATA,125.48,,,,,,,,
slurm-1431287.out:DATA,62.979,,,,,,,,
slurm-1431288.out:DATA,35.585,,,,,,,,
slurm-1431289.out:DATA,501.295,,,,,,,,
slurm-1431290.out:DATA,251.087,,,,,,,,
slurm-1431291.out:DATA,156.795,,,,,,,,
slurm-1431292.out:DATA,63.42,,,,,,,,
slurm-1431293.out:DATA,43.999,,,,,,,,
