slurm-1431399.out:DATA,8.774,,,,,,,,
slurm-1431400.out:DATA,5.125,,,,,,,,
slurm-1431401.out:DATA,2.685,,,,,,,,
slurm-1431402.out:DATA,1.402,,,8.774,10.038,10.054,10.06,10.033,9.7918
slurm-1431403.out:DATA,6.064,,,5.125,5.115,5.04,5.055,5.047,5.0764
slurm-1431404.out:DATA,10.038,,,2.685,2.676,2.702,3.351,8.26,3.9348
slurm-1431405.out:DATA,5.115,,,1.402,1.417,1.401,1.399,1.461,1.416
slurm-1431406.out:DATA,2.676,,,6.064,0.986,0.912,0.982,4.569,2.7026
slurm-1431407.out:DATA,1.417,,,,,,,,
slurm-1431408.out:DATA,0.986,,,,,,,,
slurm-1431409.out:DATA,10.054,,,,,,,,
slurm-1431410.out:DATA,5.04,,,,,,,,
slurm-1431411.out:DATA,2.702,,,,,,,,
slurm-1431412.out:DATA,1.401,,,,,,,,
slurm-1431413.out:DATA,0.912,,,,,,,,
slurm-1431414.out:DATA,10.06,,,,,,,,
slurm-1431415.out:DATA,5.055,,,,,,,,
slurm-1431416.out:DATA,3.351,,,,,,,,
slurm-1431417.out:DATA,1.399,,,,,,,,
slurm-1431418.out:DATA,0.982,,,,,,,,
slurm-1431419.out:DATA,10.033,,,,,,,,
slurm-1431420.out:DATA,5.047,,,,,,,,
slurm-1431421.out:DATA,8.26,,,,,,,,
slurm-1431422.out:DATA,1.461,,,,,,,,
slurm-1431423.out:DATA,4.569,,,,,,,,
