slurm-1431740.out:DATA,92.356,,,,,,,,,
slurm-1431741.out:DATA,48.255,,,,,,,,,
slurm-1431742.out:DATA,24.347,,,,,,,,,
slurm-1431743.out:DATA,15.186,,,,,,,,,
slurm-1431744.out:DATA,6.326,,,,,,,,,
slurm-1431745.out:DATA,93.245,,,,,,,,,
slurm-1431746.out:DATA,48.978,,,,92.356,93.245,92.573,95.037,94.312,93.5046
slurm-1431747.out:DATA,25.05,,,,48.255,48.978,46.823,47.793,50.014,48.3726
slurm-1431748.out:DATA,12.547,,,,24.347,25.05,24.841,24.839,26.026,25.0206
slurm-1431749.out:DATA,5.916,,,,15.186,12.547,11.861,12.005,11.539,12.6276
slurm-1431750.out:DATA,92.573,,,,6.326,5.916,6.32,6.234,6.31,6.2212
slurm-1431751.out:DATA,46.823,,,,,,,,,
slurm-1431752.out:DATA,24.841,,,,,,,,,
slurm-1431753.out:DATA,11.861,,,,,,,,,
slurm-1431754.out:DATA,6.32,,,,,,,,,
slurm-1431755.out:DATA,95.037,,,,,,,,,
slurm-1431756.out:DATA,47.793,,,,,,,,,
slurm-1431757.out:DATA,24.839,,,,,,,,,
slurm-1431758.out:DATA,12.005,,,,,,,,,
slurm-1431759.out:DATA,6.234,,,,,,,,,
slurm-1431760.out:DATA,94.312,,,,,,,,,
slurm-1431761.out:DATA,50.014,,,,,,,,,
slurm-1431762.out:DATA,26.026,,,,,,,,,
slurm-1431763.out:DATA,11.539,,,,,,,,,
slurm-1431764.out:DATA,6.31,,,,,,,,,
