slurm-1431648.out:DATA,9.218,,,,,,,,
slurm-1431649.out:DATA,4.976,,,,,,,,
slurm-1431650.out:DATA,2.523,,,,,,,,
slurm-1431651.out:DATA,1.278,,,,,,,,
slurm-1431652.out:DATA,0.635,,,9.218,8.867,9.961,9.979,9.44,9.493
slurm-1431653.out:DATA,8.867,,,4.976,9.346,4.644,4.679,5.007,5.7304
slurm-1431654.out:DATA,9.346,,,2.523,2.45,2.517,2.509,2.513,2.5024
slurm-1431655.out:DATA,2.45,,,1.278,1.257,1.257,1.255,1.27,1.2634
slurm-1431656.out:DATA,1.257,,,0.635,0.638,0.661,0.656,0.62,0.642
slurm-1431657.out:DATA,0.638,,,,,,,,
slurm-1431658.out:DATA,9.961,,,,,,,,
slurm-1431659.out:DATA,4.644,,,,,,,,
slurm-1431660.out:DATA,2.517,,,,,,,,
slurm-1431661.out:DATA,1.257,,,,,,,,
slurm-1431662.out:DATA,0.661,,,,,,,,
slurm-1431663.out:DATA,9.979,,,,,,,,
slurm-1431664.out:DATA,4.679,,,,,,,,
slurm-1431665.out:DATA,2.509,,,,,,,,
slurm-1431666.out:DATA,1.255,,,,,,,,
slurm-1431667.out:DATA,0.656,,,,,,,,
slurm-1431668.out:DATA,9.44,,,,,,,,
slurm-1431669.out:DATA,5.007,,,,,,,,
slurm-1431670.out:DATA,2.513,,,,,,,,
slurm-1431671.out:DATA,1.27,,,,,,,,
slurm-1431672.out:DATA,0.62,,,,,,,,
