slurm-1431715.out:DATA,43.681,,,,,,,
slurm-1431716.out:DATA,22.972,,,,,,,
slurm-1431717.out:DATA,12.66,,,,,,,
slurm-1431718.out:DATA,5.958,,,,,,,
slurm-1431719.out:DATA,3.185,,,,,,,
slurm-1431720.out:DATA,46.974,,43.681,46.974,47.684,46.582,48.146,46.6134
slurm-1431721.out:DATA,24.809,,22.972,24.809,23.606,23.612,23.976,23.795
slurm-1431722.out:DATA,12.543,,12.66,12.543,12.486,12.575,12.573,12.5674
slurm-1431723.out:DATA,6.223,,5.958,6.223,5.938,6.272,6.006,6.0794
slurm-1431724.out:DATA,3.337,,3.185,3.337,3.105,3.098,3.156,3.1762
slurm-1431725.out:DATA,47.684,,,,,,,
slurm-1431726.out:DATA,23.606,,,,,,,
slurm-1431727.out:DATA,12.486,,,,,,,
slurm-1431728.out:DATA,5.938,,,,,,,
slurm-1431729.out:DATA,3.105,,,,,,,
slurm-1431730.out:DATA,46.582,,,,,,,
slurm-1431731.out:DATA,23.612,,,,,,,
slurm-1431732.out:DATA,12.575,,,,,,,
slurm-1431733.out:DATA,6.272,,,,,,,
slurm-1431734.out:DATA,3.098,,,,,,,
slurm-1431735.out:DATA,48.146,,,,,,,
slurm-1431736.out:DATA,23.976,,,,,,,
slurm-1431737.out:DATA,12.573,,,,,,,
slurm-1431738.out:DATA,6.006,,,,,,,
slurm-1431739.out:DATA,3.156,,,,,,,
