slurm-1431794.out:DATA,913.735,,,,,,,
slurm-1431795.out:DATA,477.662,,,,,,,
slurm-1431796.out:DATA,276.225,,,,,,,
slurm-1431797.out:DATA,144.716,,,,,,,
slurm-1431798.out:DATA,63.136,,,,,,,
slurm-1431799.out:DATA,958.045,,913.735,958.045,960.619,954.96,940.9,945.6518
slurm-1431800.out:DATA,499.085,,477.662,499.085,496.866,484.124,486.806,488.9086
slurm-1431801.out:DATA,249.759,,276.225,249.759,250.696,276.289,250.085,260.6108
slurm-1431802.out:DATA,125.736,,144.716,125.736,125.219,148.558,124.751,133.796
slurm-1431803.out:DATA,62.866,,63.136,62.866,62.994,62.723,62.847,62.9132
slurm-1431804.out:DATA,960.619,,,,,,,
slurm-1431805.out:DATA,496.866,,,,,,,
slurm-1431806.out:DATA,250.696,,,,,,,
slurm-1431807.out:DATA,125.219,,,,,,,
slurm-1431808.out:DATA,62.994,,,,,,,
slurm-1431809.out:DATA,954.96,,,,,,,
slurm-1431810.out:DATA,484.124,,,,,,,
slurm-1431811.out:DATA,276.289,,,,,,,
slurm-1431812.out:DATA,148.558,,,,,,,
slurm-1431813.out:DATA,62.723,,,,,,,
slurm-1431814.out:DATA,940.9,,,,,,,
slurm-1431815.out:DATA,486.806,,,,,,,
slurm-1431816.out:DATA,250.085,,,,,,,
slurm-1431817.out:DATA,124.751,,,,,,,
slurm-1431818.out:DATA,62.847,,,,,,,
