slurm-1557364.out:(302) DATA,38965.028,
slurm-1557365.out:(302) DATA,21251.924,
slurm-1557366.out:(302) DATA,13566.737,
slurm-1557367.out:(302) DATA,12772.402,
slurm-1557368.out:(302) DATA,8867.73,
slurm-1557369.out:(302) DATA,17448.829,
slurm-1557370.out:(302) DATA,13361.181,
slurm-1557371.out:(302) DATA,10596.337,
slurm-1557372.out:(302) DATA,12019.532,
slurm-1557373.out:(302) DATA,14463.884,
slurm-1557374.out:(302) DATA,14757.843,
slurm-1557375.out:(302) DATA,19905.344,
slurm-1557376.out:(301) DATA,168217.13,
slurm-1557377.out:(302) DATA,20687.855,
slurm-1557378.out:(302) DATA,13025.237,
slurm-1557379.out:(302) DATA,8234.062,xxxxx
slurm-1557536.out:(301) DATA,366731.693,
slurm-1557537.out:(301) DATA,206507.272,
slurm-1557538.out:(301) DATA,107057.368,
slurm-1557539.out:(301) DATA,59428.575,
slurm-1557540.out:(301) DATA,42128.813,
slurm-1557541.out:(301) DATA,106924.7,
slurm-1557542.out:(301) DATA,61995.287,
slurm-1557543.out:(301) DATA,43641.508,
slurm-1557544.out:(301) DATA,33298.028,
slurm-1557545.out:(301) DATA,63863.361,
slurm-1557546.out:(301) DATA,46362.453,
slurm-1557547.out:(301) DATA,179013.269,
slurm-1557548.out:(301) DATA,124265.068,
slurm-1557566.out:(301) DATA,215432.313,
slurm-1557567.out:(301) DATA,104149.945,
slurm-1557569.out:(301) DATA,50546.893,xxxxx
slurm-1557608.out:(301) DATA,3761078.598,
slurm-1557609.out:(301) DATA,2091476.364,
slurm-1557610.out:(301) DATA,997788.072,
slurm-1557611.out:(301) DATA,542214.017,
slurm-1557612.out:(301) DATA,298344.4,
slurm-1557613.out:(301) DATA,1054964.368,
slurm-1557614.out:(301) DATA,542821.96,
slurm-1557615.out:(301) DATA,323379.58,
slurm-1557616.out:(301) DATA,172539.966,
slurm-1557617.out:(301) DATA,555972.472,
slurm-1557618.out:(301) DATA,299334.585,
slurm-1557619.out:(301) DATA,176824.035,
slurm-1557620.out:(301) DATA,131209.666,
slurm-1557621.out:(301) DATA,1933506.089,
slurm-1557622.out:(301) DATA,978339.408,
slurm-1557623.out:(301) DATA,494020.599,xxxxx
slurm-1557634.out:(301) DATA,3915313.178,
slurm-1557635.out:(301) DATA,2026721.961,
slurm-1557636.out:(301) DATA,1071340.349,
slurm-1557637.out:(301) DATA,523536.161,
slurm-1557638.out:(301) DATA,314414.883,
slurm-1557639.out:(301) DATA,1083469.058,
slurm-1557640.out:(301) DATA,564565.014,
slurm-1557641.out:(301) DATA,416389.469,
slurm-1557642.out:(301) DATA,182727.659,
slurm-1557643.out:(301) DATA,515326.839,
slurm-1557644.out:(301) DATA,338252.825,
slurm-1557645.out:(301) DATA,175730.795,
slurm-1557646.out:(301) DATA,121995.348,
slurm-1557647.out:(301) DATA,1926477.257,
slurm-1557648.out:(301) DATA,974732.058,
slurm-1557649.out:(301) DATA,634520.141,
